customer_id,order_id,order_date,product_name,product_category,quantity_sold,unit_price,location,Total_price,payment_method
1,1,1/1/2022,Organic Coffee Beans,Food,20,10.00,New York,200.00,Cash
2,2,1/1/2022,Designer Jeans,Clothing,3,80.00,Los Angeles,240.00,Cash
3,2,1/1/2022,Wireless Earbuds,Electronics,2,100.00,Chicago,200.00,Cash
4,2,1/1/2022,Laptop Pro,Electronics,15,1000.00,Houston,15000.00,PayPal
5,2,1/1/2022,LED TV 4K,Electronics,2,800.00,San Francisco,1600.00,PayPal
6,2,1/1/2022,Home Security Camera,Electronics,5,150.00,New York,750.00,credit Card
7,3,1/1/2022,Gaming Console,Electronics,25,400.00,Chicago,10000.00,PayPal
8,3,1/1/2022,Handcrafted Jewelry,Clothing,5,200.00,Los Angeles,1000.00,PayPal
9,4,1/1/2022,Gourmet Chocolate Box,Food,18,15.00,Houston,270.00,Cash
10,5,1/1/2022,Smart Phone X,Electronics,4,500.00,San Francisco,2000.00,PayPal
11,6,1/1/2022,Smart Phone X,Electronics,5,500.00,New York,2500.00,PayPal
12,6,1/1/2022,Sunglasses,Clothing,10,50.00,Los Angeles,500.00,redit Card
13,7,1/1/2022,Sunglasses,Clothing,4,50.00,Los Angeles,200.00,Cash
14,8,1/1/2022,Fitness Tracker,Electronics,1,100.00,Chicago,100.00,Cash
15,9,1/1/2022,Wireless Earbuds,Electronics,2,100.00,Chicago,200.00,Cash
16,9,1/1/2022,LED TV 4K,Electronics,2,800.00,San Francisco,1600.00,PayPal
17,9,1/1/2022,Home Security Camera,Electronics,5,150.00,New York,750.00,credit Card
18,9,1/1/2022,Gourmet Chocolate Box,Food,18,15.00,Houston,270.00,Cash
19,9,1/1/2022,Smart Phone X,Electronics,4,500.00,San Francisco,2000.00,PayPal
20,9,1/1/2022,Smart Phone X,Electronics,5,500.00,New York,2500.00,PayPal
21,9,1/1/2022,Sunglasses,Clothing,10,50.00,Los Angeles,500.00,redit Card
22,9,1/1/2022,Sunglasses,Clothing,1,50.00,Chicago,50.00,Cash
23,9,1/1/2022,Sunglasses,Clothing,3,50.00,Chicago,150.00,Cash
24,10,1/1/2022,Sunglasses,Clothing,10,50.00,San Francisco,500.00,redit Card
25,10,1/1/2022,Sunglasses,Clothing,4,50.00,San Francisco,200.00,Cash
26,11,1/1/2022,Sunglasses,Clothing,10,50.00,San Francisco,500.00,redit Card
